StudentID,FirstName,LastName,Age,Gender,City,State,Email,PhoneNumber,Stage,ExamDateTime,Status
S202500001,Priya,Khan,18,Female,Hyderabad,Telangana,priya.khan.s202500001@example.in,6305040048,Technical Entrance Test,2025-01-18 17:14:38,Pass
S202500001,Priya,Khan,18,Female,Hyderabad,Telangana,priya.khan.s202500001@example.in,6305040048,IQ Test,2025-03-01 12:19:33,Fail
S202500002,Rahul,Pawar,18,Male,Patna,Bihar,rahul.pawar.s202500002@example.in,9025145556,Technical Entrance Test,2025-01-18 16:24:06,Fail
S202500003,Suresh,Tiwari,21,Male,Lucknow,Uttar Pradesh,suresh.tiwari.s202500003@example.in,6500264354,Technical Entrance Test,2025-01-18 17:36:18,Fail
S202500004,Kavya,Choudhary,20,Female,Pune,Maharashtra,kavya.choudhary.s202500004@example.in,6558729147,Technical Entrance Test,2025-01-18 17:14:34,Fail
S202500005,Tejas,Mukherjee,24,Male,Mumbai,Maharashtra,tejas.mukherjee.s202500005@example.in,6758365548,Technical Entrance Test,2025-01-18 16:14:11,Fail
S202500006,Sanya,Rao,19,Female,Mumbai,Maharashtra,sanya.rao.s202500006@example.in,8698236041,Technical Entrance Test,2025-01-18 11:38:14,Fail
S202500007,Yash,Verma,21,Male,Ahmedabad,Gujarat,yash.verma.s202500007@example.in,7739414214,Technical Entrance Test,2025-01-18 16:13:07,Fail
S202500008,Harini,Ali,23,Female,Chandigarh,Chandigarh,harini.ali.s202500008@example.in,7112245204,Technical Entrance Test,2025-01-18 12:29:30,Fail
S202500009,Pallavi,Tiwari,23,Female,Delhi,Delhi,pallavi.tiwari.s202500009@example.in,6489653344,Technical Entrance Test,2025-01-18 17:59:01,Pass
S202500009,Pallavi,Tiwari,23,Female,Delhi,Delhi,pallavi.tiwari.s202500009@example.in,6489653344,IQ Test,2025-03-01 11:17:51,Pass
S202500009,Pallavi,Tiwari,23,Female,Delhi,Delhi,pallavi.tiwari.s202500009@example.in,6489653344,Descriptive Exam,2025-04-15 10:21:19,Pass
S202500009,Pallavi,Tiwari,23,Female,Delhi,Delhi,pallavi.tiwari.s202500009@example.in,6489653344,Face-to-Face Interview,2025-06-10 16:13:34,Pass
S202500010,Aditya,Singh,25,Male,Noida,Uttar Pradesh,aditya.singh.s202500010@example.in,6300113086,Technical Entrance Test,2025-01-18 12:11:32,Fail
S202500011,Anirudh,Patel,23,Male,Guwahati,Assam,anirudh.patel.s202500011@example.in,8414943177,Technical Entrance Test,2025-01-18 10:59:29,Fail
S202500012,Nandini,Rao,20,Female,Bhopal,Madhya Pradesh,nandini.rao.s202500012@example.in,6293697260,Technical Entrance Test,2025-01-18 10:25:39,Pass
S202500012,Nandini,Rao,20,Female,Bhopal,Madhya Pradesh,nandini.rao.s202500012@example.in,6293697260,IQ Test,2025-03-01 12:27:24,Fail
S202500013,Tanvi,Ghosh,20,Female,Lucknow,Uttar Pradesh,tanvi.ghosh.s202500013@example.in,7573289888,Technical Entrance Test,2025-01-18 17:04:33,Fail
S202500014,Aman,Chatterjee,25,Male,Lucknow,Uttar Pradesh,aman.chatterjee.s202500014@example.in,6974163873,Technical Entrance Test,2025-01-18 13:28:20,Fail
S202500015,Aishwarya,Kaur,19,Female,Pune,Maharashtra,aishwarya.kaur.s202500015@example.in,9126984670,Technical Entrance Test,2025-01-18 15:01:17,Fail
S202500016,Tejas,Khan,21,Male,Visakhapatnam,Andhra Pradesh,tejas.khan.s202500016@example.in,7460974701,Technical Entrance Test,2025-01-18 12:43:31,Pass
S202500016,Tejas,Khan,21,Male,Visakhapatnam,Andhra Pradesh,tejas.khan.s202500016@example.in,7460974701,IQ Test,2025-03-01 14:56:12,Fail
