StudentID,FirstName,LastName,Age,Gender,City,State,Email,PhoneNumber,Stage,ExamDateTime,Status
S202503962,Meera,Rao,21,Female,Kolkata,West Bengal,meera.rao.s202503962@example.in,8879428083,Technical Entrance Test,2025-01-18 10:56:21,Fail
S202503963,Nandini,Nair,21,Female,Lucknow,Uttar Pradesh,nandini.nair.s202503963@example.in,9300621442,Technical Entrance Test,2025-01-18 11:08:50,Fail
S202503964,Bhavya,Sharma,20,Female,Lucknow,Uttar Pradesh,bhavya.sharma.s202503964@example.in,9415736355,Technical Entrance Test,2025-01-18 14:08:59,Pass
S202503964,Bhavya,Sharma,20,Female,Lucknow,Uttar Pradesh,bhavya.sharma.s202503964@example.in,9415736355,IQ Test,2025-03-01 11:36:42,Fail
S202503965,Ananya,Pillai,24,Female,Guwahati,Assam,ananya.pillai.s202503965@example.in,6295315652,Technical Entrance Test,2025-01-18 11:21:17,Fail
S202503966,Meera,Nair,19,Female,Mumbai,Maharashtra,meera.nair.s202503966@example.in,8073984030,Technical Entrance Test,2025-01-18 13:27:51,Pass
S202503966,Meera,Nair,19,Female,Mumbai,Maharashtra,meera.nair.s202503966@example.in,8073984030,IQ Test,2025-03-01 10:41:24,Fail
S202503967,Kavya,Mishra,18,Female,Thiruvananthapuram,Kerala,kavya.mishra.s202503967@example.in,9139773978,Technical Entrance Test,2025-01-18 16:00:33,Fail
S202503968,Sanjay,Menon,18,Male,Kolkata,West Bengal,sanjay.menon.s202503968@example.in,8627815149,Technical Entrance Test,2025-01-18 09:21:12,Fail
S202503969,Akash,Yadav,22,Male,Jaipur,Rajasthan,akash.yadav.s202503969@example.in,7001160385,Technical Entrance Test,2025-01-18 13:18:01,Fail
S202503970,Ananya,Iyer,24,Female,Noida,Uttar Pradesh,ananya.iyer.s202503970@example.in,6991721650,Technical Entrance Test,2025-01-18 12:19:26,Fail
S202503971,Rohit,Jain,19,Male,Bhopal,Madhya Pradesh,rohit.jain.s202503971@example.in,7654823716,Technical Entrance Test,2025-01-18 10:21:38,Fail
S202503972,Nandini,Iyer,19,Female,Ahmedabad,Gujarat,nandini.iyer.s202503972@example.in,9338758391,Technical Entrance Test,2025-01-18 17:59:29,Fail
S202503973,Sakshi,Mukherjee,23,Female,Bhopal,Madhya Pradesh,sakshi.mukherjee.s202503973@example.in,7598184618,Technical Entrance Test,2025-01-18 16:13:58,Fail
S202503974,Suresh,Kaur,18,Male,Ahmedabad,Gujarat,suresh.kaur.s202503974@example.in,8197956441,Technical Entrance Test,2025-01-18 11:31:13,Fail
S202503975,Nikhil,Choudhary,18,Male,Mumbai,Maharashtra,nikhil.choudhary.s202503975@example.in,7844505178,Technical Entrance Test,2025-01-18 15:03:42,Pass
S202503975,Nikhil,Choudhary,18,Male,Mumbai,Maharashtra,nikhil.choudhary.s202503975@example.in,7844505178,IQ Test,2025-03-01 13:42:32,Fail
S202503976,Diya,Choudhary,25,Female,Chandigarh,Chandigarh,diya.choudhary.s202503976@example.in,6387367368,Technical Entrance Test,2025-01-18 13:46:46,Fail
S202503977,Ritika,Choudhary,25,Female,Visakhapatnam,Andhra Pradesh,ritika.choudhary.s202503977@example.in,8415993279,Technical Entrance Test,2025-01-18 09:55:44,Pass
S202503977,Ritika,Choudhary,25,Female,Visakhapatnam,Andhra Pradesh,ritika.choudhary.s202503977@example.in,8415993279,IQ Test,2025-03-01 12:17:32,Fail
S202503978,Aditi,Menon,24,Female,Bengaluru,Karnataka,aditi.menon.s202503978@example.in,7489653571,Technical Entrance Test,2025-01-18 10:49:20,Fail
S202503979,Aditya,Pawar,22,Male,Bhubaneswar,Odisha,aditya.pawar.s202503979@example.in,6252039173,Technical Entrance Test,2025-01-18 14:40:31,Fail
